,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TELUS,5.530242459490297e-19,1.8983389271833594e-18,7.757457911417862e-19,6.859616155578102e-19,3.3886409782152427e-19,8.222801176114434e-19,3.254274408332517e-18,0.0,1.9135511347684944e-18,0.0,8.202610485093646e-19,2.3148167316319563e-18,0.0,2.98660281763027e-19,0.0,1.5621610653980829e-19,2.1106046637305232e-18,0.0
TORONTO-DOMINION BANK,0.0,1.056843341752987e-18,2.1915390367626762e-18,0.0,0.0,0.0,5.320809930923937e-18,0.0,1.8582067479503437e-18,0.0,0.0,0.0,0.0,1.2995349386836697e-18,7.265382713019439e-19,2.964841552950449e-19,4.6981206037404665e-18,3.6735669452075654e-19
TRANSALTA,3.1718519446388876e-19,1.2366362618893299e-18,0.0,1.2122842826464594e-18,0.0,0.0,8.798612675818893e-19,0.0,0.0,0.0,0.007051867605458188,4.682790942058736e-19,0.0,6.3001954878153225e-19,0.0,0.0,0.0,0.0
TRICAN WELL SER.,0.0,8.82851212911747e-19,4.710217388971841e-19,0.0,0.0,2.479595340491132e-19,8.229360151857577e-19,0.0,9.210052529440174e-18,1.1918054149163248e-18,6.203111435702099e-19,0.0,0.00140711569897845,0.007014637535079894,0.0025093859392428903,0.0022377404923479825,0.004675026453751851,0.0
WESTON GEORGE,6.895087078386448e-19,7.492366134091798e-19,7.048793067230306e-19,0.0,0.008334771300604157,0.004823395339496545,0.0,1.6381724457923296e-18,0.0,0.0,2.194842786011738e-18,0.0,0.0,1.4218134901346677e-18,1.1505410995818392e-18,0.0,0.001116529835459329,0.0
YAMANA GOLD DEAD - DELIST.04/04/23,0.002246148616192801,0.005606487032853276,9.682022241502671e-19,1.0486715914542299e-18,1.249132787597308e-18,0.0,0.0,0.0,0.0,0.0,2.4816130307646056e-18,1.9096403049702255e-18,0.0,2.3447202411599624e-18,0.0,0.0,0.0,5.283315755670304e-18
CHUBB,3.411139101358141e-19,0.0,0.0,2.9845085648010756e-18,0.021328437532504695,0.0,0.0,0.0,1.0035915408092773e-18,0.0,5.188204960457012e-18,0.0,0.0,0.0,0.0,7.684866183325357e-19,0.0,0.0
TRANSOCEAN,0.0,9.131139151766233e-19,1.6706386492346416e-19,0.0,0.0,0.014487923127804217,5.759322240740908e-19,0.0,9.036198932284072e-19,3.0253289814112128e-18,0.0,1.2858432222886488e-18,1.1762164709896385e-18,0.0,3.0015907343695495e-18,0.0,0.0,0.0
AMDOCS,0.0,0.0,0.0,0.0,3.791696171181886e-19,0.0,0.0,0.0,3.72304334916644e-18,0.0,0.0,1.2379230542237746e-18,6.820493166489723e-19,0.008453382256155342,0.006298247228550882,0.006768600526047705,4.826087693588609e-18,0.0
EATON,1.4154343243182325e-19,1.9323445975064657e-18,5.034867540769918e-19,4.672332109404478e-19,1.3515811907128699e-18,0.0,0.0,0.0,6.170818356675634e-19,0.0,3.643537873497448e-18,0.0,2.394084017263363e-20,0.0,0.0,0.0,8.543229325575969e-19,4.986291123430145e-19
PERRIGO,5.665370202997572e-19,0.0,5.062557992362022e-19,0.0,4.591117808904104e-18,0.0,1.5431089495822925e-18,0.0,0.0,0.0,0.0,0.014832452196718566,0.0,0.004969079369519973,0.0,1.6868895161217999e-18,3.293689220626196e-18,0.0
TRANE TECHNOLOGIES,0.0,3.652474386536945e-20,1.4871990329223978e-19,1.919361402317457e-18,1.9807559029348158e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6364884281090305e-19,7.628578263308991e-19,0.0,0.0,0.0,2.5207853765657507e-19
